region,model,mean_delta_best,mean_best_raw,mean_best_corr,n_genes
AMY,batchscvi_full,0.04393115004488865,0.5504981685610515,0.5944293186059401,23
AMY,scVImodel,-0.006412862837493749,0.5504981685610515,0.5440853057235576,23
AMY,scviHarmony,-0.011109801398079388,0.5504981685610515,0.539388367162972,23
HPF,batchscvi_full,0.01718381022371625,0.5268907716504705,0.5440745818741868,23
HPF,scVImodel,-0.011696707940477603,0.5268907716504705,0.5151940637099929,23
HPF,scviHarmony,-0.007826433562143345,0.5268907716504705,0.5190643380883271,23
HY,batchscvi_full,0.06670979984650466,0.6217602664279825,0.6884700662744873,23
HY,scVImodel,-0.04192732776723307,0.6217602664279825,0.5798329386607495,23
HY,scviHarmony,-0.09453699853673604,0.6217602664279825,0.5272232678912464,23
MB,batchscvi_full,0.07552518070756467,0.6375983679439079,0.7131235486514724,23
MB,scVImodel,-0.06692007079135476,0.6375983679439079,0.570678297152553,23
MB,scviHarmony,-0.11642680562562478,0.6375983679439079,0.5211715623182829,23
PFC,batchscvi_full,0.04628440009497579,0.5627624601473928,0.6090468602423686,23
PFC,scVImodel,-0.003758369449177605,0.5627624601473928,0.5590040906982151,23
PFC,scviHarmony,-0.010296144838180685,0.5627624601473928,0.5524663153092122,23
STR,batchscvi_full,0.03994636350179563,0.6197869555140284,0.6597333190158241,23
STR,scVImodel,-0.03828138322687165,0.6197869555140284,0.5815055722871566,23
STR,scviHarmony,-0.06490444133600623,0.6197869555140284,0.5548825141780221,23
TH,batchscvi_full,0.07207541603323812,0.628868612364428,0.7009440283976663,23
TH,scVImodel,-0.06421528653190119,0.628868612364428,0.5646533258325269,23
TH,scviHarmony,-0.07451552018334619,0.628868612364428,0.554353092181082,23
iCTX,batchscvi_full,-0.0005330209264223527,0.5794328086228367,0.5788997876964143,23
iCTX,scVImodel,-0.044161057237212496,0.5794328086228367,0.535271751385624,23
iCTX,scviHarmony,-0.04151192692694494,0.5794328086228367,0.5379208816958917,23
