region,model,label,mean_roc
AMY,raw,raw,0.5504981685610515
AMY,scvi,scVI,0.5440853057235576
AMY,scviHarmony,scVI+Harmony,0.539388367162972
AMY,svibatch,paired-batch scVI (D1),0.5944293186059401
HPF,raw,raw,0.5268907716504705
HPF,scvi,scVI,0.5151940637099929
HPF,scviHarmony,scVI+Harmony,0.5190643380883271
HPF,svibatch,paired-batch scVI (D1),0.5440745818741868
HY,raw,raw,0.6217602664279825
HY,scvi,scVI,0.5798329386607495
HY,scviHarmony,scVI+Harmony,0.5272232678912464
HY,svibatch,paired-batch scVI (D1),0.6884700662744873
MB,raw,raw,0.6375983679439079
MB,scvi,scVI,0.570678297152553
MB,scviHarmony,scVI+Harmony,0.5211715623182829
MB,svibatch,paired-batch scVI (D1),0.7131235486514724
PFC,raw,raw,0.5627624601473928
PFC,scvi,scVI,0.5590040906982151
PFC,scviHarmony,scVI+Harmony,0.5524663153092122
PFC,svibatch,paired-batch scVI (D1),0.6090468602423686
STR,raw,raw,0.6197869555140284
STR,scvi,scVI,0.5815055722871566
STR,scviHarmony,scVI+Harmony,0.5548825141780221
STR,svibatch,paired-batch scVI (D1),0.6597333190158241
TH,raw,raw,0.628868612364428
TH,scvi,scVI,0.5646533258325269
TH,scviHarmony,scVI+Harmony,0.554353092181082
TH,svibatch,paired-batch scVI (D1),0.7009440283976663
iCTX,raw,raw,0.5794328086228367
iCTX,scvi,scVI,0.535271751385624
iCTX,scviHarmony,scVI+Harmony,0.5379208816958917
iCTX,svibatch,paired-batch scVI (D1),0.5788997876964143
