gene,logFC_CON_vs_CON,logFC_CSRES_vs_CON,logFC_CSSUS_vs_CON,logFC_CURES_vs_CON,logFC_CUSUS_vs_CON
Xkr4,0.0,0.4480001,0.1848925,0.43110728,-0.088884115
Gm1992,0.0,0.3000401,-0.26360235,-0.17619084,-0.1085708
Gm19938,0.0,-0.16150491,-0.11515094,0.14347982,-0.2456367
Rp1,0.0,-0.03449293,-0.059980143,-0.031186122,-0.022026036
Mrpl15,0.0,-0.32703218,-0.11708106,-0.088660695,-0.25632098
Lypla1,0.0,-0.3921593,-0.1829582,-0.04057954,-0.15271461
Tcea1,0.0,-0.035706244,0.06583454,0.017013267,-0.038324445
Rgs20,0.0,-0.032194674,0.260663,0.098986894,-0.04708308
Atp6v1h,0.0,-0.20190673,-0.046001088,-0.10015798,-0.07208893
Oprk1,0.0,-0.10481348,0.057852786,0.04135435,0.15199782
Rb1cc1,0.0,0.10395002,0.2020247,0.0963022,0.15919155
4732440D04Rik,0.0,-0.42749044,-0.27234298,-0.05074791,-0.324544
St18,0.0,0.4585197,0.17597312,0.2813717,0.12453461
Pcmtd1,0.0,-0.05790592,-0.03503924,-0.042599104,0.107397035
Gm26901,0.0,0.05929718,0.073769264,-0.019283943,0.101539396
Sntg1,0.0,0.10302819,-0.03779556,0.26715666,-0.15608427
Rrs1,0.0,0.31069726,0.19594026,0.4955003,0.1692346
Adhfe1,0.0,-0.2291127,-0.050082278,-0.03654998,0.0026260912
2610203C22Rik,0.0,-0.13554563,-0.09475113,-0.1558972,-0.093492255
Vxn,0.0,0.05086771,0.06865456,0.16084549,0.08169917
Mybl1,0.0,0.23661807,-0.020865977,0.2167364,0.2550217
Vcpip1,0.0,-0.005467266,0.08559911,0.13510048,0.22604856
1700034P13Rik,0.0,0.012640506,-0.4193999,-0.0837797,-0.36909473
Sgk3,0.0,-0.083501436,0.06870421,0.119666725,-0.006327361
Mcmdc2,0.0,-0.09286247,-0.0037815068,0.04104502,0.050777186
Snhg6,0.0,0.20756082,-0.17982528,0.09326145,0.13257304
Ppp1r42,0.0,-0.16480054,-0.06854922,-0.06308481,-0.10542387
Cops5,0.0,0.033342194,-0.06183187,0.0053436086,0.015527155
Cspp1,0.0,0.08742702,0.17144677,0.073162705,0.030474126
Arfgef1,0.0,0.06254387,0.07492949,0.050658666,-0.034802943
Cpa6,0.0,-0.10316754,0.06773042,0.008610405,-0.023199603
Prex2,0.0,-0.25857842,0.015012655,-0.09061428,-0.050205473
A830018L16Rik,0.0,-0.026782658,-0.10298925,0.05086122,-0.1342752
Sulf1,0.0,-0.26095966,-0.20957342,-0.096546836,-0.18429649
Slco5a1,0.0,0.09638266,0.061667033,0.06821069,0.13013615
Ncoa2,0.0,0.0022542477,0.05878027,0.14890005,-0.05012632
Gm29570,0.0,0.100372866,0.0006398745,-0.0011877269,-0.019580573
Tram1,0.0,-0.09924594,-0.0015429817,0.033504546,0.048557684
Lactb2,0.0,0.097314484,0.12787408,0.2811456,0.034946144
Eya1,0.0,0.00891576,-0.053362276,-0.0348874,-0.049640257
Gm9947,0.0,0.033041418,-0.10868732,-0.03949347,0.01532208
Kcnb2,0.0,0.32360232,0.13331068,0.39674774,-0.23428491
Terf1,0.0,-0.117598206,-0.051409196,0.06054518,-0.17545183
Sbspon,0.0,0.11492273,-0.0891753,0.03132221,-0.15535492
4930444P10Rik,0.0,-0.110171914,-0.17164107,-0.16053376,-0.26373407
Rpl7,0.0,0.31749132,0.16948894,0.0029004067,0.15729976
Rdh10,0.0,0.103710115,0.15838796,0.10947151,0.038632922
Stau2,0.0,0.18959726,0.06262461,0.15671495,-0.009754151
Gm7568,0.0,0.018845003,-0.011354726,0.07089462,0.026810594
Ube2w,0.0,-0.13419542,-0.19069333,-0.070544936,-0.010738538
Eloc,0.0,0.28618976,0.24472064,0.044448018,0.17729846
Tmem70,0.0,0.20759165,0.036855213,0.20005074,0.024641767
Ly96,0.0,-0.085337356,-0.25328237,0.011167921,-0.22855312
Gm28376,0.0,-0.0006075214,-0.0483595,-0.18340828,0.036498543
Jph1,0.0,0.019473508,-0.100247554,-0.14339383,-0.20436066
Gdap1,0.0,0.42384744,0.2315927,0.16574636,0.0494792
Gm28154,0.0,0.02930405,-0.0261994,0.0002622269,0.084789425
Gm16070,0.0,-0.17317088,-0.042731497,-0.088756554,-0.096894726
Crispld1,0.0,0.046519015,0.032159645,0.03314706,0.17401949
Gm28153,0.0,-0.073335886,-0.062469102,-0.009453008,-0.033231832
Gm28756,0.0,0.059394665,-0.02946259,0.18334556,0.06134989
Pkhd1,0.0,-0.063189216,-0.08038106,-0.1105273,0.029506875
6720483E21Rik,0.0,0.12481305,0.13688673,0.16934554,0.1583605
Paqr8,0.0,-0.28038278,-0.08182868,-0.30951712,-0.28772032
Efhc1,0.0,0.13443686,-0.3967954,0.4487943,0.065058246
Tram2,0.0,-0.039944466,0.0914678,0.049414314,-0.0116463415
Tmem14a,0.0,0.047732465,0.009947106,-0.110457055,-0.17436036
Gsta3,0.0,0.06532634,-0.030462593,0.05923434,-0.03596367
Gm28836,0.0,0.0959132,0.026512787,0.05796152,-0.019435778
Kcnq5,0.0,0.07465334,-0.054135032,0.36025724,-0.13546237
Rims1,0.0,0.4540577,0.24765907,0.43830177,-0.10855526
Gm29107,0.0,0.1430412,0.30243924,0.02490504,0.1836898
Ogfrl1,0.0,0.23927891,0.26405996,0.048132226,-0.04715337
B3gat2,0.0,0.25052416,0.1322683,0.10146238,0.13397947
Smap1,0.0,-0.1584929,-0.072223715,-0.20908368,-0.18501946
Sdhaf4,0.0,0.12461811,0.058887225,0.01608362,0.121918924
Fam135a,0.0,0.056703098,0.07134183,0.17814635,0.07266397
Col9a1,0.0,0.089742735,-0.0018637031,0.01982107,0.084531575
Col19a1,0.0,-0.0083409855,-0.0719353,-0.020841867,0.016961042
Lmbrd1,0.0,-0.030473799,0.00801488,-0.004818417,0.120716125
Adgrb3,0.0,-0.0112941265,0.052540056,-0.016833067,0.08730781
Phf3,0.0,-0.11243488,-0.10149969,-0.09440458,-0.044730257
Ptp4a1,0.0,0.04081594,-0.06800589,0.111744426,0.015730675
Khdrbs2,0.0,0.15899739,-0.1356041,0.19548498,-0.34108883
Prim2,0.0,0.0512572,-0.105521634,0.08459243,-0.21413589
Rab23,0.0,-0.1030598,-0.09853509,-0.032057643,0.026143111
Bag2,0.0,-0.27871653,-0.31792992,-0.21597189,-0.35937095
Zfp451,0.0,0.15884814,-0.0716345,0.05863569,-0.07751377
Bend6,0.0,0.3569407,0.06109675,-0.19972198,-0.007071145
Dst,0.0,0.09314619,0.13465968,0.14169915,-0.0590719
Gm26788,0.0,0.18371771,-0.14268613,-0.024859617,-0.12051745
Ccdc115,0.0,-0.012953358,-0.005163137,-0.16892558,-0.054571442
Imp4,0.0,0.10591458,0.06856024,0.17994094,-0.019543089
Ptpn18,0.0,0.021529142,0.005775813,0.0263734,0.05402808
Amer3,0.0,-0.108485594,-0.074598715,-0.18301667,-0.052145377
Arhgef4,0.0,-0.16681716,0.08285327,0.016477853,0.037119273
Fam168b,0.0,0.12485955,0.095151454,0.04664909,0.114969574
Plekhb2,0.0,0.0020141825,0.10586259,-0.022023387,-0.003203757
Hs6st1,0.0,-0.22679344,0.1522494,0.18992268,-0.07702717
Uggt1,0.0,0.11997421,0.2639456,0.104201764,-0.046435148
Arid5a,0.0,-0.10493399,-0.08805063,0.06747741,-0.13305719
4930403P22Rik,0.0,-0.32623148,-0.1946947,-0.14557947,-0.11801166
Kansl3,0.0,0.06382431,0.25286072,0.2530433,-0.11712107
Lman2l,0.0,-0.42191464,-0.15017787,-0.2892515,-0.17338428
Cnnm4,0.0,-0.18842795,-0.030021787,0.28522855,0.029868882
Cnnm3,0.0,0.12881924,-0.0056125224,0.11810428,-0.04158941
Ankrd23,0.0,0.16636366,0.07656668,0.0070898533,0.05501452
Ankrd39,0.0,0.13865358,0.18095654,0.17252286,-0.14283314
Sema4c,0.0,0.14550164,0.12617534,0.31608257,-0.067590654
D430040D24Rik,0.0,-0.015839562,0.10876452,0.08346546,-0.08496074
