gene,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2,fdr
Zfp169,0.8645458183273309,0.1354541816726691,1.8535708007607261,6.357473e-05,1.7700748e-05,1.839682e-08,0.1,1.7854911,1.7762909,1.5248227,-3.3870516,7.1192255,0.045748625,0.028053544,0.04112754158964875,0.027190332326284025,0.1771384,0.12120905,False,RES_vs_CON,CURES,CON,0.8645458183273309
Ckmt2,0.8343337334933973,0.16566626650660266,1.6166581120308818,2.0081054e-06,4.022105e-07,1.839682e-08,0.1,2.8555877,2.8178577,2.8770196,-6.961027,14.551504,0.002310536,0.0,0.002310536044362292,0.0,0.008649361,0.0,False,RES_vs_CON,CURES,CON,0.8343845238832125
Zfp422,0.8251300520208084,0.17486994797919164,1.5514984244152639,1.4108775e-05,5.324351e-05,1.839682e-08,0.1,-1.630133,-1.5956826,1.6671131,-7.557309,4.99496,0.014787434,0.015968926,0.014787430683918676,0.014242555028053529,0.05923456,0.06659486,False,RES_vs_CON,CURES,CON,0.8252305183610034
Has2,0.8201280512204882,0.17987194877951185,1.5172152426308307,7.522194e-07,1.3580524e-07,1.839682e-08,0.1,2.1985724,2.1641264,2.3057084,-6.435858,9.747211,0.00046210721,0.00043159258,0.0004621072088724584,0.00043159257660768235,0.0014271379,0.002202003,False,RES_vs_CON,CURES,CON,0.8202778462983368
9330159F19Rik,0.8197278911564626,0.1802721088435374,1.5145049766660068,0.00017801,0.00029350113,1.839682e-08,0.1,-0.70095885,-0.68107796,0.6605335,-3.352522,1.6556892,0.4094264,0.7268066,0.3105360443622951,0.454898575744501,1.5635267,3.1056943,False,RES_vs_CON,CURES,CON,0.8199275326301978
Sbk3,0.8173269307723089,0.1826730692276911,1.4983410841915354,5.56891e-06,8.9187654e-07,1.839682e-08,0.1,2.995441,2.9807758,3.1865156,-8.849144,15.752233,0.0013863216,0.00043159258,0.0013863216266173752,0.00043159257660768235,0.0046136416,0.0016555144,False,RES_vs_CON,CURES,CON,0.8175757668347738
Tex261,0.8163265306122449,0.18367346938775508,1.491654834583274,1.6030068e-05,4.8814018e-05,1.839682e-08,0.1,-1.4843371,-1.4494886,1.5382913,-8.7203245,3.9593573,0.04112755,0.037548594,0.04112754158964875,0.035390591281829975,0.1567342,0.16554919,False,RES_vs_CON,CURES,CON,0.816624786560587
Mir9-3hg,0.8097238895558223,0.1902761104441777,1.4482170421251601,0.00022256389,0.00013376542,1.839682e-08,0.1,0.7825088,0.7834463,0.77451825,-1.8277788,3.6901731,0.6894658,0.26025093,0.4542513863216315,0.21320673284419644,2.6290584,1.1502519,False,RES_vs_CON,CURES,CON,0.8100690614227543
4921509O07Rik,0.8079231692677071,0.19207683073229287,1.4365714747258171,7.4067304e-07,1.6766205e-07,1.839682e-08,0.1,2.4873343,2.446188,2.7026398,-8.525553,12.148262,0.0027726432,0.0,0.00277264325323475,0.0,0.00786299,0.0,False,RES_vs_CON,CURES,CON,0.8083167980956085
Fbxo16,0.806922769107643,0.19307723089235695,1.430137654134397,6.9463663e-06,3.143918e-05,1.839682e-08,0.1,-1.8155241,-1.7979417,1.9814517,-8.951061,5.517005,0.0060073943,0.016832113,0.006007393715341957,0.015105740181268895,0.025888251,0.07555172,False,RES_vs_CON,CURES,CON,0.8073650801449759
